function_name,raw_weight,normalized_weight
silu,0.3588885,0.15297587
relu,0.30966392,0.13199395
tanh,1.0957334,0.4670553
sigmoid,-0.14884493,-0.063445
abs,0.23185267,0.098826975
identity,0.49875304,0.21259299
