function_name,raw_weight,normalized_weight
silu,0.2682587,0.13303207
relu,0.24284239,0.120427884
tanh,0.34310904,0.17015108
sigmoid,0.81612074,0.40472212
abs,0.11891741,0.05897229
identity,0.22724818,0.11269456
