function_name,raw_weight,normalized_weight
silu,0.8830601,0.38889554
relu,0.56580913,0.2491797
tanh,0.35381112,0.15581676
sigmoid,0.00014198753,6.253065e-05
abs,0.21662867,0.095402256
identity,0.25123596,0.11064315
