function_name,raw_weight,normalized_weight
silu,0.89714146,0.32099867
relu,0.6713011,0.24019262
tanh,0.65253896,0.23347948
sigmoid,-0.0003869358,-0.00013844625
abs,0.2578244,0.09224998
identity,0.31642577,0.11321765
